IDCliente,Genero,Idoso,PossuiParceiro,PossuiDependentes,MesesDeServico,ServicoTelefonico,MultiplasLinhas,TipoInternet,SegurancaOnline,BackupOnline,ProtecaoDispositivo,SuporteTecnico,StreamingTV,StreamingFilmes,TipoContrato,FaturaDigital,MetodoPagamento,CobrancaMensal,CobrancaTotal,Cancelou
2869-ADAWR,Feminino,0,Não,Não,45,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,89.3,4016.85,Sim
5832-EXGTT,Masculino,0,Sim,Sim,29,Sim,Não,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,ChequeCorreio,60.2,1834.15,Não
9402-ORRAH,Feminino,1,Não,Não,15,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,91.5,1400.3,Não
4967-WPNCF,Masculino,0,Não,Não,72,Não,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,63.7,4464.8,Não
8033-VCZGH,Masculino,0,Sim,Não,50,Sim,Sim,FibraOptica,Sim,Não,Sim,Não,Sim,Sim,Anual,Sim,ChequeEletronico,103.95,5231.3,Não
9392-XBGTD,Masculino,0,Não,Sim,27,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,20.6,581.85,Não
0078-XZMHT,Masculino,0,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,85.15,6316.2,Não
0743-HNPFG,Feminino,0,Sim,Sim,51,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Sim,Anual,Sim,CartaoCreditoAutomatico,69.75,3562.5,Não
5334-JLAXU,Feminino,0,Sim,Não,60,Sim,Sim,FibraOptica,Sim,Sim,Não,Não,Não,Sim,Mensal,Sim,CartaoCreditoAutomatico,94.1,5475.9,Não
5696-EXCYS,Masculino,0,Não,Não,17,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,19.45,369.05,Não
2569-WGERO,Feminino,0,Não,Não,72,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,TransferenciaBancariaAutomatica,21.15,1419.4,Não
5219-YIPTK,Feminino,0,Sim,Não,33,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,104.4,3409.6,Sim
5553-AOINX,Feminino,1,Sim,Sim,66,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,ChequeEletronico,104.9,6891.45,Não
5502-RLUYV,Feminino,0,Sim,Sim,69,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,103.95,7446.9,Sim
2058-DCJBE,Masculino,0,Não,Não,5,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,69.75,324.6,Sim
2293-IJWPS,Feminino,0,Sim,Não,57,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,CartaoCreditoAutomatico,100.75,5985.0,Não
7130-VTEWQ,Feminino,1,Não,Não,8,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,75.75,606.25,Sim
0080-EMYVY,Feminino,0,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,CartaoCreditoAutomatico,51.45,727.85,Não
0148-DCDOS,Masculino,0,Não,Não,25,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,94.7,2362.1,Sim
9170-ARBTB,Feminino,0,Sim,Sim,52,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,CartaoCreditoAutomatico,19.6,1012.4,Não
2070-FNEXE,Feminino,1,Não,Não,7,Sim,Não,FibraOptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,TransferenciaBancariaAutomatica,76.45,503.6,Sim
5364-EVNIB,Masculino,0,Não,Não,13,Sim,Não,FibraOptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,ChequeEletronico,79.8,973.45,Sim
1112-CUNAO,Feminino,1,Não,Não,15,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,ChequeEletronico,89.85,1424.95,Sim
4576-CSAJH,Masculino,0,Não,Não,22,Sim,Não,DSL,Não,Sim,Não,Sim,Não,Não,Anual,Sim,CartaoCreditoAutomatico,55.15,1193.05,Sim
9967-ATRFS,Feminino,0,Não,Não,19,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.9,367.55,Não
1360-RCYRT,Masculino,0,Sim,Sim,23,Não,SemServicoTelefonico,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Sim,TransferenciaBancariaAutomatica,30.35,678.75,Não
5038-ETMLM,Feminino,0,Sim,Não,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,113.65,8182.75,Não
5663-QBGIS,Masculino,1,Sim,Não,72,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Sim,Bienal,Não,TransferenciaBancariaAutomatica,98.35,6929.4,Não
4194-WHFCB,Feminino,0,Sim,Sim,59,Sim,Sim,FibraOptica,Não,Sim,Não,Sim,Não,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,96.65,5580.8,Não
9481-WHGWY,Feminino,0,Sim,Sim,70,Sim,Não,DSL,Sim,Não,Não,Sim,Sim,Sim,Bienal,Não,CartaoCreditoAutomatico,75.35,5437.75,Não
5453-YBTWV,Masculino,0,Sim,Sim,70,Sim,Não,FibraOptica,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Sim,CartaoCreditoAutomatico,101.1,6994.8,Não
2018-PZKMU,Masculino,0,Sim,Sim,9,Sim,Não,FibraOptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Não,ChequeEletronico,103.1,970.45,Não
9277-JOOMO,Feminino,0,Não,Não,3,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,24.6,86.35,Não
3629-ZNKXA,Masculino,1,Não,Não,17,Sim,Não,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,101.8,1752.45,Não
0369-ZGOVK,Feminino,0,Sim,Sim,28,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Anual,Sim,TransferenciaBancariaAutomatica,70.4,1992.2,Não
3604-WLABM,Feminino,0,Não,Não,10,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,ChequeEletronico,54.25,583.0,Não
4063-EIKNQ,Masculino,0,Sim,Sim,11,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,TransferenciaBancariaAutomatica,20.95,267.35,Não
2878-RMWXY,Masculino,1,Sim,Não,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Não,Não,Sim,Bienal,Sim,CartaoCreditoAutomatico,102.65,7550.3,Não
9540-JYROE,Masculino,0,Não,Não,8,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeCorreio,70.1,551.35,Sim
7515-LODFU,Masculino,1,Não,Não,69,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,20.3,1356.3,Não
1839-FBNFR,Feminino,0,Sim,Sim,39,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,TransferenciaBancariaAutomatica,19.85,854.8,Não
5397-NSKQG,Masculino,0,Sim,Sim,67,Não,SemServicoTelefonico,DSL,Sim,Não,Não,Não,Sim,Sim,Bienal,Não,CartaoCreditoAutomatico,50.9,3281.65,Não
1755-FZQEC,Masculino,0,Não,Não,39,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,ChequeCorreio,19.9,791.15,Não
2160-GPFXD,Masculino,0,Sim,Sim,54,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Bienal,Sim,CartaoCreditoAutomatico,65.65,3566.7,Não
4415-IJZTP,Feminino,0,Não,Não,1,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,74.5,74.5,Sim
9880-TDQAC,Feminino,0,Sim,Sim,72,Não,SemServicoTelefonico,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,ChequeEletronico,60.0,4264.0,Não
5138-WVKYJ,Masculino,0,Não,Não,10,Sim,Sim,FibraOptica,Sim,Não,Não,Não,Sim,Sim,Mensal,Não,ChequeEletronico,98.55,1008.55,Sim
8844-TONUD,Masculino,0,Sim,Sim,13,Sim,Não,FibraOptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,ChequeCorreio,96.65,1162.85,Sim
0080-OROZO,Feminino,0,Não,Não,35,Sim,Não,FibraOptica,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,ChequeEletronico,99.25,3532.0,Não
0953-LGOVU,Masculino,0,Sim,Sim,12,Não,SemServicoTelefonico,DSL,Não,Sim,Não,Sim,Não,Não,Mensal,Não,ChequeCorreio,35.5,432.25,Não
5325-UWTWJ,Masculino,0,Sim,Não,31,Sim,Sim,FibraOptica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,CartaoCreditoAutomatico,90.55,2929.75,Não
1074-AMIOH,Feminino,0,Sim,Sim,53,Sim,Não,FibraOptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,108.25,5935.1,Não
5906-BFOZT,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,ChequeCorreio,19.5,19.5,Não
7026-YMSBE,Masculino,0,Não,Não,30,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,ChequeCorreio,19.7,625.05,Não
6572-ADKRS,Feminino,0,Não,Não,46,Sim,Não,FibraOptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,CartaoCreditoAutomatico,74.8,3548.3,Não
5922-ABDVO,Feminino,0,Sim,Não,19,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Não,Sim,Mensal,Não,ChequeCorreio,89.65,1761.05,Sim
6475-VHUIZ,Feminino,0,Sim,Não,23,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,ChequeEletronico,54.25,1221.55,Não
1324-NLTJE,Feminino,1,Não,Não,15,Sim,Sim,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Não,CartaoCreditoAutomatico,55.0,757.1,Sim
4361-FEBGN,Masculino,0,Não,Não,48,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,20.15,982.95,Não
8393-DLHGA,Masculino,0,Não,Sim,25,Sim,Não,FibraOptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,95.9,2448.75,Sim
6769-DCQLI,Masculino,0,Não,Não,52,Sim,Não,FibraOptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,TransferenciaBancariaAutomatica,105.0,5426.85,Sim
3018-TFTSU,Masculino,0,Não,Não,12,Sim,Não,FibraOptica,Sim,Não,Sim,Não,Não,Não,Mensal,Não,TransferenciaBancariaAutomatica,81.7,858.6,Sim
2324-AALNO,Feminino,0,Não,Não,48,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,TransferenciaBancariaAutomatica,24.55,1203.95,Não
2300-RQGOI,Feminino,0,Não,Não,38,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,20.05,741.5,Não
6133-OZILE,Feminino,0,Não,Não,18,Não,SemServicoTelefonico,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Sim,ChequeEletronico,35.2,607.3,Não
7605-SNLQG,Feminino,0,Sim,Não,45,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Mensal,Sim,CartaoCreditoAutomatico,50.25,2221.55,Não
5348-CAGXB,Masculino,0,Não,Não,12,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,ChequeEletronico,89.55,1021.75,Não
0201-MIBOL,Feminino,1,Não,Não,66,Sim,Sim,FibraOptica,Sim,Não,Não,Não,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,102.4,6471.85,Não
7083-MIOPC,Feminino,0,Não,Não,72,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,20.25,1566.9,Não
0562-KBDVM,Feminino,0,Não,Não,70,Não,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Sim,TransferenciaBancariaAutomatica,44.6,3058.15,Não
1173-NOEYG,Feminino,0,Sim,Não,27,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Não,Sim,Mensal,Não,TransferenciaBancariaAutomatica,90.15,2423.4,Não
7698-YFGEZ,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.0,20.0,Não
9061-TIHDA,Masculino,1,Sim,Não,13,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,95.25,1233.65,Sim
0016-QLJIS,Feminino,0,Sim,Sim,65,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,ChequeCorreio,90.45,5957.9,Não
7296-PIXQY,Feminino,0,Sim,Sim,14,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,70.2,1046.5,Não
9102-IAYHT,Feminino,0,Sim,Sim,17,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,ChequeEletronico,85.45,1451.6,Sim
6447-EGDIV,Feminino,0,Não,Não,31,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,ChequeCorreio,20.95,683.25,Não
3460-TJBWI,Masculino,0,Sim,Sim,24,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,24.2,609.05,Não
3744-ZBHON,Feminino,0,Não,Não,3,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeEletronico,20.2,65.95,Não
1092-GANHU,Masculino,0,Não,Não,17,Sim,Não,FibraOptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,ChequeEletronico,76.65,1313.55,Sim
3948-KXDUF,Masculino,0,Não,Não,66,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,TransferenciaBancariaAutomatica,68.75,4447.55,Não
7284-ZZLOH,Masculino,0,Sim,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Não,Bienal,Não,CartaoCreditoAutomatico,53.3,2296.25,Não
6745-JEFZB,Masculino,0,Sim,Não,35,Sim,Sim,FibraOptica,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,91.5,3236.35,Não
2606-PKWJB,Masculino,0,Não,Sim,40,Não,SemServicoTelefonico,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Não,ChequeCorreio,40.25,1564.05,Não
1624-WOIWJ,Feminino,0,Não,Não,10,Sim,Não,FibraOptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,ChequeCorreio,84.7,832.05,Sim
8777-PVYGU,Feminino,0,Sim,Não,52,Sim,Não,DSL,Sim,Não,Sim,Não,Sim,Não,Anual,Sim,ChequeCorreio,64.3,3410.6,Não
4770-QAZXN,Feminino,0,Não,Não,13,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,CartaoCreditoAutomatico,19.45,232.1,Não
8012-SOUDQ,Feminino,1,Não,Não,43,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,90.25,3838.75,Não
5546-BYZSM,Feminino,0,Não,Não,41,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeEletronico,20.45,775.6,Não
0523-VNGTF,Feminino,1,Não,Não,52,Não,SemServicoTelefonico,DSL,Não,Sim,Sim,Sim,Sim,Não,Mensal,Sim,ChequeEletronico,50.5,2566.3,Não
3779-OSWCF,Feminino,0,Sim,Não,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,CartaoCreditoAutomatico,93.2,6506.15,Não
8535-SFUTN,Masculino,0,Não,Não,61,Sim,Sim,FibraOptica,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,106.45,6300.15,Não
2320-SLKMB,Feminino,0,Não,Não,26,Não,SemServicoTelefonico,DSL,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,44.45,1183.8,Não
7169-YWAMK,Masculino,0,Sim,Sim,72,Sim,Não,DSL,Sim,Sim,Não,Sim,Sim,Não,Bienal,Não,TransferenciaBancariaAutomatica,68.4,4855.35,Não
8434-PNQZX,Feminino,0,Não,Não,42,Sim,Sim,DSL,Não,Não,Sim,Sim,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,78.45,3373.4,Não
4981-FLTMF,Feminino,0,Sim,Sim,57,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,TransferenciaBancariaAutomatica,65.2,3687.85,Não
9424-CMPOG,Masculino,0,Sim,Sim,9,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.6,197.4,Não
3627-FCRDW,Feminino,0,Não,Não,9,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,71.0,672.55,Sim
1518-OMDIK,Masculino,0,Sim,Não,33,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,CartaoCreditoAutomatico,44.55,1462.6,Não
8393-JMVMB,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.45,19.45,Não
7638-QVMVY,Feminino,0,Não,Não,7,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,79.0,522.95,Sim
6140-QNRQQ,Masculino,0,Não,Não,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeCorreio,71.55,71.55,Sim
7969-FFOWG,Masculino,0,Sim,Sim,65,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.9,1292.6,Não
1342-JPNKI,Masculino,0,Não,Não,10,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,TransferenciaBancariaAutomatica,86.05,834.1,Sim
7080-TNUWP,Masculino,0,Sim,Não,70,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Não,Anual,Sim,TransferenciaBancariaAutomatica,95.0,6602.9,Não
8949-JTMAY,Feminino,0,Não,Não,29,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,CartaoCreditoAutomatico,98.6,2933.2,Sim
0654-HMSHN,Masculino,0,Sim,Sim,21,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,ChequeEletronico,104.4,2157.95,Sim
2725-KXXWT,Masculino,0,Sim,Não,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,90.75,90.75,Sim
2439-QKJUL,Masculino,0,Não,Não,5,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.25,109.8,Não
1935-IMVBB,Masculino,0,Sim,Não,56,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,ChequeCorreio,89.7,4952.95,Não
4628-WQCQQ,Masculino,0,Não,Sim,35,Sim,Não,FibraOptica,Não,Não,Sim,Não,Sim,Não,Anual,Sim,ChequeEletronico,85.15,3030.6,Sim
3724-BSCVH,Masculino,0,Sim,Sim,10,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,ChequeCorreio,20.45,242.4,Não
