"","Month","GreenBns","Broccoli","Carrots","Corn","Onions","GrnPeas","TotVegs"
"149",149,92856,138354,188167,259394,40141,133570,1461402
"150",150,80224,150883,177248,215553,38342,163293,1422893
"151",151,135849,146630,155417,188235,36063,279556,1525796
"152",152,250870,146869,160470,332015,36830,324942,1901353
"153",153,282133,138703,187579,716876,39007,305164,2371993
"154",154,255912,128033,237272,828144,36743,277076,2497311
"155",155,227381,112411,297498,735731,42786,243530,2388041
"156",156,202607,120971,281791,645424,40521,208357,2185704
"157",157,178636,104939,245683,565536,40313,174706,1946880
"158",158,148003,99259,234040,488724,43512,144706,1749512
"159",159,128520,102002,217999,415156,42048,111692,1553441
"160",160,112655,122430,201629,333871,37328,95440,1461895
"161",161,94363,112136,167777,264536,36141,73375,1312012
"162",162,84908,108415,162170,203727,37813,137612,1317133
"163",163,156250,118967,149864,164694,40762,300102,1529711
"164",164,273944,119041,159784,436734,36335,321298,1988991
"165",165,296589,114943,173249,723876,36084,339697,2390139
"166",166,283497,106043,245751,798943,40116,306008,2509258
"167",167,255806,111652,328015,746964,41320,249048,2496122
"168",168,230661,112311,300870,677839,42218,219533,2303007
